date,tag,title,link
2021/09/10,usecases, 提升 on-call 的效率方式, https://www.facebook.com/technologynoteniu/posts/367687458398726
2021/09/08,others, Shell 內的 > < 2>&1 等差異介紹, https://www.facebook.com/technologynoteniu/posts/366343451866460
2021/09/06,network, SO_REUSEPORT 的好處介紹,https://www.facebook.com/technologynoteniu/posts/365012185332920
2021/09/04,others, Hyperlink 的歷史介紹文, https://www.facebook.com/technologynoteniu/posts/363693522131453
2021/09/01,usecases, ITHOME 鐵人賽, https://www.facebook.com/technologynoteniu/posts/362290215605117
2021/08/31,others, TOFU (Trust-On-First-Use) 的機制介紹, https://www.facebook.com/technologynoteniu/posts/360966752404130
2021/08/29,usecases, 如何透過 Harbor & Keycloak & Istio 來打造 Kubernetes 環境, https://www.facebook.com/technologynoteniu/posts/359651409202331
2021/08/27,others, Bash CLI 面試挑戰, https://www.facebook.com/technologynoteniu/posts/358298199337652
2021/08/25,introduction, GKE/EKS/AKS/DOKS 四種雲端比較差異, https://www.facebook.com/technologynoteniu/posts/356979272802878
2021/08/23,others, 使用透過 Vagrant 來打造 Ceph, https://www.facebook.com/technologynoteniu/posts/355687726265366
2021/08/21,usecases, Argo Worflows 的使用者調查報告, https://www.facebook.com/technologynoteniu/posts/354374916396647
2021/08/19,usecases, HelloFresh 如何使用 Ambassador 來處理流量應用程式, https://www.facebook.com/technologynoteniu/posts/353036783197127
2021/08/17,others, Lens 相關擴充功能, https://www.facebook.com/technologynoteniu/posts/351716419995830
2021/08/15,others, DevOps & SRE & Platform Engineer 的差異, https://www.facebook.com/technologynoteniu/posts/350414603459345
2021/08/13,introduction, Kubernetes 內的 Authentication & Authorization 兩大塊, https://www.facebook.com/technologynoteniu/posts/349088606925278
2021/08/11,others, CKS 的概念以及考試準備, https://www.facebook.com/technologynoteniu/posts/347750070392465
2021/08/09,others, SSL & Cert-Manager 來管理, https://www.facebook.com/technologynoteniu/posts/346358767198262
2021/08/07,cicd, 2021 必須理解的 IaC 工具,https://www.facebook.com/technologynoteniu/posts/344913647342774
2021/08/05,cicd, KubeStack 基於 GitOps 來處理 Terraform, https://www.facebook.com/technologynoteniu/posts/343595084141297
2021/08/03,others, Software Supply Chain 的安全評估, https://www.facebook.com/technologynoteniu/posts/342246137609525
2021/08/01,usecases, Why Ably 評估後不使用 Kubernetes, https://www.facebook.com/technologynoteniu/posts/341088541058618
2021/07/30,usecases, 軟體工程師十年經驗分享, https://www.facebook.com/technologynoteniu/posts/339605564540249
2021/07/28,introduction, Kubernetes 的儲存介紹,https://www.facebook.com/technologynoteniu/posts/338290281338444
2021/07/26,tool, Kubernetes 的開源工具, https://www.facebook.com/technologynoteniu/posts/336960611471411
2021/07/24,usecases, LeeCode 500題後的人生經驗, https://www.facebook.com/technologynoteniu/posts/335672778266861
2021/07/22,cicd, DevSecOps 的導入經驗, https://www.facebook.com/technologynoteniu/posts/334331091734363
2021/07/20,introduction, Event Streaming 與 Enterprise Messaging 系統介紹, https://www.facebook.com/technologynoteniu/posts/332997681867704
2021/07/18,network, HTTP/3 的介紹, https://www.facebook.com/technologynoteniu/posts/331610322006440
2021/07/16,others, BFF 設計模式介紹, https://www.facebook.com/technologynoteniu/posts/330208242146648
2021/07/14,introduction, 使用 Helm 內建的 AWS 加解密實作 secret management, https://www.facebook.com/technologynoteniu/posts/328867655614040
2021/07/12,others, SLSA, Supply Chain Levels for Software Artifcats, https://www.facebook.com/technologynoteniu/posts/327532099080929
2021/07/10,introduction, 透過 Velero 來進行 Kubernetes 災難復原, https://www.facebook.com/technologynoteniu/posts/326220349212104
2021/07/08,usecases, HTTP 599 錯誤的除錯經驗, https://www.facebook.com/technologynoteniu/posts/324926429341496
2021/07/06,introduction, OpenTelemetry v1.0 的發展介紹, https://www.facebook.com/technologynoteniu/posts/323603416140464
2021/07/04,container, Dockerfile 的 20 種 Best Practice, https://www.facebook.com/technologynoteniu/posts/322343309599808
2021/07/01,others, Snowflask UUID 的概念與介紹, https://www.facebook.com/technologynoteniu/posts/320403199793819
2021/06/29,introduction, Cloud Native 領域的優勢與相關專案, https://www.facebook.com/technologynoteniu/posts/319082926592513
2021/06/27,introduction, K3D 的詳細介紹與使用, https://www.facebook.com/technologynoteniu/posts/317755616725244
2021/06/25,introduction, Library Helm Chart 的開發介紹, https://www.facebook.com/technologynoteniu/posts/316465763520896
2021/06/23,usecases, Netflix 的 eBPF 介紹文, https://www.facebook.com/technologynoteniu/posts/315150713652401
2021/06/21,introduction, Kubernetes Resource 基本介紹文,https://www.facebook.com/technologynoteniu/posts/313813690452770
2021/06/19,others, 效能調校系列文(4), https://www.facebook.com/technologynoteniu/posts/312575030576636
2021/06/17,others, 效能調校系列文(3), https://www.facebook.com/technologynoteniu/posts/311332047367601
2021/06/15,others, 效能調校系列文(2), https://www.facebook.com/technologynoteniu/posts/310089047491901
2021/06/13,others, 效能調校系列文(1), https://www.facebook.com/technologynoteniu/posts/308751397625666
2021/06/11,cicd, GitOps 的起源與發展, https://www.facebook.com/technologynoteniu/posts/307451354422337
2021/06/09,usecases, Netflix 內部架構分享文, https://www.facebook.com/technologynoteniu/posts/306146844552788
2021/06/07,introduction, Kubernetes 15種不要使用的部署策略與模式(下),https://www.facebook.com/technologynoteniu/posts/304868071347332
2021/06/06,container, Docker Contianer的Best Practice, https://www.facebook.com/technologynoteniu/posts/304207338080072
2021/06/04,introduction, Kubernetes 15種不要使用的部署策略與模式(中), https://www.facebook.com/technologynoteniu/posts/302935294873943
2021/06/01,introduction, Kubernetes 15種不要使用的部署策略與模式, https://www.facebook.com/technologynoteniu/posts/300958348404971
2021/05/30,cicd, Tekton 使用教學介紹, https://www.facebook.com/technologynoteniu/posts/299635081870631
2021/05/28,container, 探討 Docker 是如何使用硬碟空間以及該如何有效率地清除, https://www.facebook.com/technologynoteniu/posts/298375648663241
2021/05/26,usecases, 如何使用 Kubecost 來幫 Rancher 專案評估成本, https://www.facebook.com/technologynoteniu/posts/296972245470248
2021/05/24,usecases, 作者淺談為什麼不再使用 minikube 而改用 KIND, https://www.facebook.com/technologynoteniu/posts/295577298943076
2021/05/22,others, Kubernetes 好用小工具介紹, https://www.facebook.com/technologynoteniu/posts/293404779160328
2021/05/20,others, DevSecOps 專欄介紹, https://www.facebook.com/technologynoteniu/posts/290120169488789
2021/05/18,usecases, 作者探討 2021 不同的日誌視覺化分析工具, https://www.facebook.com/technologynoteniu/posts/288802732953866
2021/05/16,container, 微服務架構下監控的設計思路, https://www.facebook.com/technologynoteniu/posts/287524089748397
2021/05/14,introduction, 如何透過 SSL/TLS 來加強應用程式之間的連線, https://www.facebook.com/technologynoteniu/posts/286263219874484
2021/05/12,usecases, 如何透過 kubectl flame 火焰圖來進行效能分析, https://www.facebook.com/technologynoteniu/posts/284908593343280
2021/05/10,introduction, Rancher Harvester 專案的使用介紹與範例, https://www.facebook.com/technologynoteniu/posts/283631330137673
2021/05/08,usecases, AWS 上 Serverless 架構的使用七種變化, https://www.facebook.com/technologynoteniu/posts/282285850272221
2021/05/06,usecases, Uber 如何設計架構來處理基於GPS的服務, https://www.facebook.com/technologynoteniu/posts/281005607066912
2021/05/04,others, MAC brew 的資安問題與示範, https://www.facebook.com/technologynoteniu/posts/279676850533121
2021/05/02,usecases, 淺談為什麼身為工程團隊管理人員依然要繼續寫程式, https://www.facebook.com/technologynoteniu/posts/278402427327230
2021/04/30,introduction, Config Map 使用上可能會造成的 JSON 格式跑版問題, https://www.facebook.com/technologynoteniu/posts/277058847461588
2021/04/28,others, 如何打造一個酷炫的 GitHub 個人首頁, https://www.facebook.com/technologynoteniu/posts/275778024256337
2021/04/26,others, metrics 設計上的思路探討,https://www.facebook.com/technologynoteniu/posts/274441227723350
2021/04/25,network, 從網路觀點來看導入Kubernetes 的可能痛點, https://www.facebook.com/technologynoteniu/posts/273665154467624
2021/04/24,usecases, GKE 使用上因為底層硬碟問題導致 Statefulset無法擴張,https://www.facebook.com/technologynoteniu/posts/273009101199896
